koi_score,koi_fpflag_nt,koi_model_snr,koi_fpflag_co,koi_fpflag_ss,koi_fpflag_ec,koi_duration_err2,koi_prad,koi_depth_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,koi_prad_err2,koi_insol,koi_time0bk_err2,koi_disposition
0.0,0.0,513.4,0.0,1.0,0.0,-0.0179,12.42,-27.7,1.0,168.0,-210.0,-1.69,67.03,-0.000249,FALSE POSITIVE
1.0,0.0,166.7,0.0,0.0,0.0,-0.024,2.94,-4.0,1.0,104.0,-115.0,-0.38,337.68,-0.000468,CONFIRMED
0.998,0.0,141.1,0.0,0.0,0.0,-0.088,5.5,-22.6,1.0,180.0,-164.0,-0.96,16.72,-0.00142,CONFIRMED
1.0,0.0,43.4,0.0,0.0,0.0,-0.0518,2.52,-28.2,1.0,152.0,-152.0,-0.24,91.9,-0.00133,CONFIRMED
1.0,0.0,128.6,0.0,0.0,0.0,-0.0362,4.43,-13.3,1.0,173.0,-239.0,-0.51,565.35,-0.000613,CONFIRMED
1.0,0.0,1406.8,0.0,0.0,0.0,-0.00666,12.21,-11.0,1.0,74.0,-83.0,-0.87,521.13,-4.66e-05,CONFIRMED
0.0,0.0,236.1,1.0,1.0,0.0,-0.104,7.34,-44.3,1.0,136.0,-151.0,-0.6,8.11,-0.00137,FALSE POSITIVE
1.0,0.0,35.6,0.0,0.0,0.0,-0.0677,1.89,-13.8,1.0,157.0,-192.0,-0.2,408.99,-0.00191,CONFIRMED
1.0,0.0,71.1,0.0,0.0,0.0,-0.0423,3.25,-15.2,1.0,77.0,-77.0,-0.25,351.23,-0.00111,CONFIRMED
1.0,0.0,37.9,0.0,0.0,0.0,-0.073,3.95,-29.7,2.0,77.0,-77.0,-0.31,99.68,-0.00183,CONFIRMED
1.0,0.0,48.2,0.0,0.0,0.0,-0.0643,3.07,-36.3,1.0,154.0,-154.0,-0.22,13.49,-0.00176,CONFIRMED
1.0,0.0,88.4,0.0,0.0,0.0,-0.0489,2.64,-6.3,1.0,105.0,-117.0,-0.27,89.61,-0.000957,CONFIRMED
1.0,0.0,47.1,0.0,0.0,0.0,-0.0384,1.79,-4.4,2.0,104.0,-115.0,-0.23,233.31,-0.00159,CONFIRMED
0.014,0.0,835.6,0.0,1.0,0.0,-0.0129,15.03,-37.8,1.0,183.0,-201.0,-1.58,206.78,-7.32e-05,FALSE POSITIVE
1.0,0.0,28.9,0.0,0.0,0.0,-0.0798,2.0,-42.0,2.0,82.0,-82.0,-0.1,8.35,-0.00248,CONFIRMED
1.0,0.0,38.7,0.0,0.0,0.0,-0.0517,2.16,-37.7,1.0,82.0,-82.0,-0.11,22.18,-0.00147,CONFIRMED
1.0,0.0,21.7,0.0,0.0,0.0,-0.126,1.99,-53.4,3.0,82.0,-82.0,-0.09,2.88,-0.00392,CONFIRMED
1.0,0.0,345.2,0.0,0.0,0.0,-0.035,6.02,-18.5,1.0,166.0,-149.0,-0.52,258.34,-0.000195,CONFIRMED
0.999,0.0,36.9,0.0,0.0,0.0,-0.14,7.51,-230.0,1.0,179.0,-163.0,-0.91,11.29,-0.00222,CANDIDATE
1.0,0.0,38.9,0.0,0.0,0.0,-0.0384,1.99,-25.6,1.0,82.0,-91.0,-0.12,107.6,-0.0009,CONFIRMED
0.0,0.0,745.2,0.0,1.0,0.0,-0.0145,11.23,-22.4,1.0,173.0,-173.0,-1.95,113.94,-0.00019,FALSE POSITIVE
1.0,0.0,82.4,0.0,0.0,0.0,-0.0271,2.34,-13.7,1.0,79.0,-79.0,-0.09,311.16,-0.000659,CONFIRMED
0.993,0.0,13.7,0.0,0.0,0.0,-0.171,19.45,-44.1,2.0,79.0,-79.0,-0.71,68.63,-0.002,CANDIDATE
