st_mass,st_logg,pl_radjerr2,pl_radjerr1,pl_radeerr1,pl_radeerr2,st_teff,pl_orbpererr1,pl_orbpererr2,pl_radj,pl_rade,st_rad,sy_dist,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_orbper,sy_vmagerr1,sy_vmagerr2,sy_vmag,sy_kmagerr2,sy_kmagerr1,sy_kmag,sy_pnum,sy_snum,pl_controv_flag,default_flag,disposition
,,-0.038,0.082,0.92,-0.43,,0.00051,-0.00053,0.351,3.93,0.533,235.002,16.0427,0.001083,-0.001083,11.52898,0.2,-0.2,17.73,-0.023,0.023,12.634,0,1,0,1,CANDIDATE
0.84,4.59,-0.01248996,0.01248996,0.14,-0.14,5068.0,0.000393,-0.000363,0.12579177,1.41,0.78,327.783,13.5627,0.000175,-0.000175,2.151894,0.114,-0.114,13.848,-0.023,0.023,11.639,5,1,0,0,CONFIRMED
,,-0.047,0.03,0.3,-0.53,,0.0055,-0.0057,0.261,2.92,0.896,329.309,13.1501,0.000279,-0.000279,39.8642,0.103,-0.103,13.409,-0.022,0.022,11.347,1,1,0,0,CONFIRMED
0.9,4.47,-0.00347935,0.00749399,0.084,-0.039,5435.0,8e-05,-8e-05,0.14952296,1.676,0.924,138.671,10.9277,0.000552,-0.000552,2.36906,0.015,-0.015,11.187,-0.027,0.027,9.259,1,2,0,0,CONFIRMED
0.612,4.734,-0.00579891,0.01427424,0.16,-0.065,,0.0033,-0.0033,0.14666786,1.644,0.553,44.0727,11.4785,0.000959,-0.000959,24.6491,0.009,-0.009,12.168,-0.023,0.023,8.561,3,1,0,0,CONFIRMED
,,,,,,4937.0,,,0.1552324,1.74,0.75,337.993,12.5085,0.000137,-0.000137,18.357773,0.034,-0.034,12.753,-0.023,0.023,10.546,0,1,0,0,CANDIDATE
,,,,,,5251.0,,,0.62449817,7.0,0.81,110.527,10.5371,0.000371,-0.000371,1.2578493,0.01,-0.01,10.802,-0.019,0.019,8.866,1,2,0,0,CONFIRMED
0.66,4.62,-0.00624498,0.0089214,0.1,-0.07,4597.0,7e-05,-8e-05,0.10259613,1.15,0.66,150.21,12.9484,0.000586,-0.000586,0.81314,0.114,-0.114,13.4,-0.023,0.023,10.391,1,1,0,0,CONFIRMED
,,,,,,5817.3,1.0999e-05,-1.0999e-05,,,,141.887,10.6241,0.000959,-0.000959,2.655675251,0.01,-0.01,10.72,-0.026,0.026,8.733,1,2,0,0,CONFIRMED
,,,,,,4992.0,,,0.27656348,3.1,0.76,493.992,14.4237,0.000374,-0.000374,11.808398,0.172,-0.172,14.758,-0.026,0.026,12.495,1,1,0,0,CONFIRMED
1.19,3.35,-0.006,0.006,0.067254,-0.067254,4878.0,0.0025,-0.0025,1.089,12.206601,4.11,609.818,11.64,0.000572,-0.000572,9.1708,0.069,-0.069,12.071,-0.023,0.023,9.54,1,1,0,0,CONFIRMED
1.046,4.20761,,,,,5814.52,,,,,1.33351,147.997,9.90987,0.000169,-0.000169,17.178,0.005,-0.005,9.964,-0.024,0.024,8.626,0,1,0,1,CANDIDATE
1.1,4.43218,,,,,5975.0,,,,,1.05594,434.609,12.6728,0.000259,-0.000259,3.02164122,0.137,-0.137,12.97,-0.023,0.023,11.288,0,1,0,0,CANDIDATE
0.664837,4.56823,,,,,3777.0,,,,,0.701898,223.67,14.4291,0.000321,-0.000321,25.23658,0.114,-0.114,15.082,-0.021,0.021,11.277,0,1,0,1,FALSE POSITIVE
1.29,4.16,-0.08475347,0.08564561,0.96,-0.95,6414.0,,,0.93496459,10.48,1.57,866.259,13.3081,0.00021,-0.00021,26.0,0.172,-0.172,13.565,-0.02,0.02,11.958,0,1,0,1,CANDIDATE
,,-0.29,0.23,2.6,-3.2,,3.3e-05,-3.6e-05,0.78,8.7,0.385,143.9793,14.1332,0.002304,-0.002304,4.72046,0.117,-0.117,15.143,-0.018,0.018,10.654,0,1,0,1,CANDIDATE
,4.62,-0.02927697,0.02927697,0.328165,-0.328165,4072.0,6.3e-06,-6.3e-06,0.30319438,3.3985,0.65,107.272,12.8598,0.0011,-0.0011,4.7948642,0.206,-0.206,13.265,-0.018,0.018,10.058,1,1,0,0,CONFIRMED
1.14,3.62228,,,,,6073.27,,,,,2.73115,519.229,10.9485,0.000567,-0.000567,18.25,0.013,-0.013,11.149,-0.021,0.021,9.72,2,1,0,0,CONFIRMED
1.24,4.43683,,,,,6318.0,,,,,1.11514,367.105,12.0649,0.000328,-0.000328,14.452,0.028,-0.028,11.922,-0.019,0.019,10.773,0,1,0,1,CANDIDATE
,4.557,,,,,5140.0,,,,,0.783,621.412,15.364,0.000576,-0.000576,1.092673,0.183,-0.183,15.548,-0.027,0.027,13.093,0,1,0,1,CANDIDATE
,4.7,-0.00892142,0.00892142,0.1,-0.1,3879.0,2.4e-05,-2.4e-05,0.20519261,2.3,0.58,243.836,14.9537,0.000777,-0.000777,0.381073,0.046,-0.046,15.565,-0.026,0.026,11.924,1,2,0,1,CONFIRMED
0.95,4.47,-0.01248996,0.01248996,0.14,-0.14,5523.0,0.000279,-0.0003,0.25158355,2.82,0.94,496.289,13.8183,0.000278,-0.000278,4.169836,0.114,-0.114,14.21,-0.021,0.021,12.002,2,1,0,0,CONFIRMED
,,-0.12,0.11,1.2,-1.4,,9.3e-06,-8.9e-06,0.54,6.1,2.66,905.484,12.2705,0.00016,-0.00016,0.8218241,0.046,-0.046,12.38,-0.019,0.019,10.844,0,1,0,1,CANDIDATE
0.857874,4.54,-0.01151026,0.02536959,0.28436776,-0.12901855,5134.0,0.000161,-0.000158,0.23144375,2.59425303,0.803348,181.746,12.1319,0.000424,-0.000424,7.052475,0.057,-0.057,12.415,-0.021,0.021,10.215,3,1,0,0,CONFIRMED
0.856,4.615,-0.01766441,0.03238475,0.363,-0.198,4603.0,0.000625,-0.000611,0.19457612,2.181,0.751,182.207,12.8995,0.000709,-0.000709,8.777247,0.149,-0.149,13.265,-0.025,0.025,10.514,1,1,0,1,CONFIRMED
0.551,4.786,-0.03211705,0.03211705,0.36,-0.36,4127.0,0.0005,-0.0005,0.20697654,2.32,0.491,180.697,15.0572,0.000618,-0.000618,7.06599,0.24,-0.24,16.024,-0.024,0.024,11.766,1,1,0,1,CONFIRMED
,4.73,-0.03,0.2,2.29187111,-0.36401778,4315.0,4e-05,-4.3e-05,0.14,1.51966184,0.592773,90.5352,12.2174,0.000209,-0.000209,1.055785,0.069,-0.069,12.675,-0.021,0.021,9.49,0,1,0,1,CANDIDATE
1.1,4.21,-0.022,0.026,0.291434,-0.246598,5537.0,0.00012,-0.00012,0.85,9.52765,1.65,213.283,10.4594,0.000314,-0.000314,11.63344,0.009,-0.009,10.612,-0.022,0.022,8.89,1,1,0,0,CONFIRMED
,,-0.012,0.0098,0.11,-0.14,,9.5e-05,-0.0001,0.121,1.36,0.424,125.529,13.8042,0.000341,-0.000341,2.747128,0.015,-0.015,14.522,-0.018,0.018,10.765,2,1,0,0,CONFIRMED
0.93,4.71954,,,,,5368.0,,,,,0.697439,203.896,12.4039,0.0002,-0.0002,8.866,0.046,-0.046,12.557,-0.026,0.026,10.677,1,1,0,0,CONFIRMED
0.927,4.64,-0.01124099,0.01293606,0.145,-0.126,4844.0,0.000161,-0.000216,0.13730062,1.539,0.761,420.819,14.3355,0.000259,-0.000259,2.380867,0.114,-0.114,14.645,-0.027,0.027,12.237,1,1,0,1,CONFIRMED
,,-0.033,0.02,0.2,-0.37,,0.00027,-0.00022,0.119,1.33,0.885,345.761,13.3175,0.0004,-0.0004,1.72397,0.069,-0.069,13.517,-0.021,0.021,11.492,0,1,0,1,CANDIDATE
0.89,4.56,-0.02587207,0.02587207,0.29,-0.29,5264.0,0.007,-0.007,0.21589794,2.42,0.83,329.309,13.1501,0.000279,-0.000279,39.8478,0.103,-0.103,13.409,-0.022,0.022,11.347,1,1,0,0,CONFIRMED
0.426533,,-0.0133821,0.0133821,0.15,-0.15,3546.46,0.00011,-0.00011,0.17485949,1.96,0.492279,189.289,15.3955,0.000606,-0.000606,1.974238,0.206,-0.206,15.989,-0.021,0.021,12.014,1,1,0,0,CONFIRMED
,,-1.4,0.68,7.6,-15.7,,0.00022,-0.00022,1.95,21.9,1.69,477.026,12.29,0.000215,-0.000215,14.94889,0.069,-0.069,12.487,-0.019,0.019,10.891,0,1,0,1,CANDIDATE
0.974,4.452,-0.011,0.018,0.20176165,-0.12329879,5680.0,1.5e-05,-1.2e-05,0.195,2.18575124,0.973,113.123,10.1214,0.000803,-0.000803,6.326768,0.008,-0.008,10.364,-0.024,0.024,8.687,1,1,0,1,CONFIRMED
0.945,4.227,-0.00990277,0.0100812,0.113,-0.111,5946.0,0.001139,-0.00075,0.20287304,2.274,1.239,606.992,13.0091,0.000439,-0.000439,6.393025,0.149,-0.149,13.287,-0.021,0.021,11.717,2,1,0,0,CONFIRMED
0.9,4.52,-0.01516638,0.01516638,0.17,-0.17,5413.0,0.00075,-0.00075,0.14363458,1.61,0.85,179.943,12.2573,0.00015,-0.00015,4.44117,0.046,-0.046,12.573,-0.021,0.021,10.142,3,1,0,0,CONFIRMED
,,-0.04,0.043,0.48,-0.5,,0.00027,-0.00028,0.53,5.94,1.249,170.562,10.9072,0.0003,-0.0003,20.88506,0.019,-0.019,11.275,-0.021,0.021,9.18,2,1,0,0,CONFIRMED
0.97,4.45,-0.0089214,0.0089214,0.1,-0.1,5617.0,2e-05,-2.1e-05,0.16236952,1.82,0.98,244.59,11.9535,0.00022,-0.00022,0.571331,0.031,-0.031,12.101,-0.021,0.021,10.344,2,1,0,0,CONFIRMED
0.73,4.64,-0.01248996,0.01248996,0.14,-0.14,4648.0,0.000195,-0.000198,0.16683023,1.87,0.68,107.518,11.9053,0.000403,-0.000403,3.225338,0.114,-0.114,12.358,-0.019,0.019,9.625,2,1,0,0,CONFIRMED
,,-0.04,0.05,0.6,-0.5,,2.1e-05,-2.1e-05,1.03,11.5,0.84,514.449,14.1754,0.00026,-0.00026,3.476642,0.08,-0.08,14.334,-0.025,0.025,12.351,0,1,0,0,CANDIDATE
0.918,4.5,,,,,5250.0,0.0004,-0.00012,,,0.881,289.827,12.8153,0.000455,-0.000455,7.91951,0.092,-0.092,13.024,-0.026,0.026,11.161,3,1,0,0,CONFIRMED
0.983,4.42959,,,,,5573.35,,,,,1.00118,228.641,12.1848,0.000148,-0.000148,5.86639571,0.046,-0.046,12.523,-0.017,0.017,10.299,1,1,0,0,CONFIRMED
,,-0.05,0.047,0.53,-0.56,,0.00091,-0.00148,0.184,2.06,0.374,159.259,15.2612,0.000501,-0.000501,7.90417,1.133,-1.133,16.014,-0.024,0.024,11.933,1,1,0,1,CANDIDATE
,,,,,,,1.1e-06,-1.1e-06,,,,314.995,11.4668,0.000949,-0.000949,2.1805338,0.034,-0.034,11.602,-0.023,0.023,10.217,1,1,0,0,CONFIRMED
,,-0.022,0.012,0.13,-0.25,,0.0025,-0.0024,0.131,1.47,0.655,168.652,12.6573,0.000478,-0.000478,20.6714,0.103,-0.103,12.987,-0.019,0.019,10.53,1,1,0,1,CANDIDATE
1.003,4.32,-0.06066554,0.06066554,0.68,-0.68,5950.0,0.00064,-0.00064,0.2837006,3.18,1.1,264.78,11.7889,0.000253,-0.000253,9.03164,0.046,-0.046,11.936,-0.026,0.026,10.192,4,1,0,0,CONFIRMED
,4.74578,-0.1326817,0.1326817,1.4872266,-1.4872266,3449.0,8.65986e-05,-8.65986e-05,0.63912455,7.16393472,0.490442,272.64,16.383,0.000959,-0.000959,2.007452829,0.2,-0.2,17.53,-0.026,0.026,12.881,0,1,0,0,CANDIDATE
1.53,3.44,-0.09813543,0.09813543,1.1,-1.1,4881.0,0.00046,-0.00046,0.731555,8.2,3.88,307.47,10.5959,0.000521,-0.000521,4.60543,0.025,-0.025,10.831,-0.024,0.024,8.516,1,1,0,0,CONFIRMED
0.923184,4.59,-0.04205364,0.05790562,0.64906406,-0.47137924,5392.0,9e-06,-9e-06,1.07557116,12.05607716,0.857501,178.475,12.2008,0.000375,-0.000375,3.258824,0.103,-0.103,12.532,-0.034,0.034,10.062,1,2,0,0,CONFIRMED
,,-0.031,0.014,0.16,-0.35,,0.0029,-0.0027,0.206,2.31,0.9757,320.07,12.2038,0.000255,-0.000255,23.2259,0.044,-0.044,12.488,-0.021,0.021,10.857,2,1,0,0,CONFIRMED
0.89,4.522,-0.02051923,0.02051923,0.23,-0.23,5413.0,0.00017,-0.00017,0.14452672,1.62,0.86,181.746,12.1319,0.000424,-0.000424,2.53726,0.057,-0.057,12.415,-0.021,0.021,10.215,3,1,0,1,CONFIRMED
,,,,,,5401.0,,,,,,474.61,12.6854,0.00032,-0.00032,0.96997227,1.133,-1.133,13.092,-0.018,0.018,10.216,0,1,0,1,FALSE POSITIVE
,,,,,,3972.0,0.0005,-0.00048,,,0.68,106.26,12.8684,0.000445,-0.000445,6.39595,0.114,-0.114,13.434,-0.019,0.019,10.013,0,1,0,1,CANDIDATE
,4.46,-0.01,0.02,0.18211656,-0.10712887,5758.0,0.00092,-0.000933,0.17,1.86157195,0.978493,178.226,10.7048,0.000733,-0.000733,18.517319,0.013,-0.013,10.973,-0.021,0.021,9.307,0,1,0,0,CANDIDATE
1.1,3.35558,,,,,5987.0,,,,,3.64705,544.411,10.4352,0.000583,-0.000583,2.612804,0.085,-0.085,10.132,-0.021,0.021,9.145001,0,1,0,1,FALSE POSITIVE
1.18,4.36,-0.014,0.014,0.16,-0.15,6120.0,1e-06,-1e-06,0.308,3.45,1.19,188.959,10.4053,0.000406,-0.000406,1.6739024,0.012,-0.012,10.651,-0.018,0.018,9.182,1,1,0,0,CONFIRMED
0.94,4.33,-0.02408779,0.02408779,0.27,-0.27,5727.0,0.006,-0.006,0.24087787,2.7,1.09,342.394,12.739,0.000294,-0.000294,40.0603,0.046,-0.046,12.882,-0.026,0.026,11.169,1,1,0,0,CONFIRMED
0.73,4.53679,-0.007,0.0098,0.11,-0.08,4616.52,0.00028,-0.0003,0.0999,1.12,0.762602,97.1795,11.3995,0.001307,-0.001307,2.30183,0.046,-0.046,11.727,-0.019,0.019,9.22,0,1,0,1,CANDIDATE
,,,,,,,4.9e-07,-4.9e-07,,,,320.639,10.8245,0.00042,-0.00042,2.79082479,0.03,-0.03,10.92,-0.016,0.016,9.83,1,1,0,0,CONFIRMED
0.9,4.60139,,,,,5274.0,,,,,0.786068,453.567,14.1826,0.000316,-0.000316,9.029,0.149,-0.149,14.585,-0.029,0.029,12.204,1,1,0,0,CONFIRMED
,,-0.035,0.013,0.15,-0.39,,0.00048,-0.0005,0.126,1.41,1.275,200.394,10.9294,0.000621,-0.000621,5.35185,0.034,-0.034,11.13,-0.021,0.021,9.377,2,1,0,0,CONFIRMED
0.87,4.59,-0.00267642,0.00535284,0.06,-0.03,5315.0,2e-05,-2e-05,0.10170399,1.14,0.79,102.564,10.7861,0.001541,-0.001541,0.58426,0.017,-0.017,10.985,-0.023,0.023,9.05,2,1,0,0,CONFIRMED
0.836,4.51,-0.01472034,0.01579091,0.177,-0.165,5432.0,0.000694,-0.000701,0.19876919,2.228,0.841,488.679,13.9483,0.000318,-0.000318,8.491003,0.366,-0.366,14.177,-0.031,0.031,12.198,0,1,0,1,CANDIDATE
,,,,,,5167.0,,,,,2.19732,478.688,11.9845,0.001543,-0.001543,14.707213,0.08,-0.08,12.318,-0.017,0.017,10.138,0,1,0,1,FALSE POSITIVE
0.91,4.59319,,,,,5296.77,,,,,0.797924,239.289,12.5114,0.000183,-0.000183,21.199,0.114,-0.114,12.803,-0.019,0.019,10.796,1,1,0,0,CONFIRMED
,,-0.02,0.033,0.37,-0.22,,0.00027,-0.00027,0.144,1.61,0.502,139.317,14.7036,0.000375,-0.000375,3.74234,0.183,-0.183,15.695,-0.02,0.02,11.441,0,1,0,1,CANDIDATE
,,-0.031,0.016,0.18,-0.35,,0.00044,-0.00041,0.224,2.51,0.6867,203.896,12.4039,0.0002,-0.0002,8.86638,0.046,-0.046,12.557,-0.026,0.026,10.677,1,1,0,0,CONFIRMED
1.16,4.2,-0.05263637,0.05174422,0.58,-0.59,6168.0,2e-07,-2e-07,1.22669495,13.75,1.42,348.646,11.4357,0.00091,-0.00091,2.9956348,0.017,-0.017,11.447,-0.017,0.017,10.193,1,1,0,1,CONFIRMED
,,-0.031,0.014,0.16,-0.35,,0.00082,-0.00083,0.197,2.21,0.848,218.345,12.5475,0.000917,-0.000917,11.86386,0.057,-0.057,12.792,-0.021,0.021,10.64,0,1,0,1,CANDIDATE
,3.921,,,,,3230.0,,,,,0.888,187.929,14.6547,0.00047,-0.00047,1.810834,0.183,-0.183,15.564,-0.02,0.02,11.16,0,1,0,1,CANDIDATE
,,-0.038,0.015,0.17,-0.43,,0.00077,-0.0008,0.153,1.72,0.609,271.148,13.6622,0.000416,-0.000416,6.79143,0.114,-0.114,13.941,-0.021,0.021,11.415,0,1,0,1,CANDIDATE
,4.6,-0.00535285,0.00624499,0.07,-0.06,5200.0,3e-05,-3e-05,0.13382127,1.5,0.81,152.509,11.8999,0.000602,-0.000602,0.369311,0.092,-0.092,12.129,-0.026,0.026,10.051,1,1,0,0,CONFIRMED
0.78,4.52,-0.02944063,0.02944063,0.33,-0.33,4870.0,0.00041,-0.00041,0.2150058,2.41,0.74,403.513,14.3358,0.000396,-0.000396,5.06416,0.32,-0.32,14.801,-0.03,0.03,12.245,2,1,0,1,CONFIRMED
,,,,,,5060.51,,,,,0.910204,238.775,12.9416,0.000643,-0.000643,3.209,0.046,-0.046,13.142,-0.019,0.019,10.88,0,1,0,0,CANDIDATE
,,,,,,4028.0,,,1.90025872,21.3,0.61,450.905,15.2205,0.002221,-0.002221,0.80032756,0.217,-0.217,15.933,-0.027,0.027,12.312,0,1,0,1,CANDIDATE
,4.549,-2.1,2.1,24.0,-24.0,5267.0,0.00054,-0.00054,3.5,39.0,0.82,1887.97,17.0246,0.001519,-0.001519,6.71694,1.133,-1.133,16.733,-0.06,0.06,14.408,0,1,0,1,CANDIDATE
,,-0.03,0.019,0.21,-0.34,,0.00014,-0.00014,0.236,2.64,0.792,179.943,12.2573,0.00015,-0.00015,6.42959,0.046,-0.046,12.573,-0.021,0.021,10.142,3,1,0,0,CONFIRMED
0.919,4.5,-0.033,0.034,0.381106,-0.369897,5340.0,0.00026,-0.00026,0.808,9.056872,0.862,153.856,11.4626,0.000529,-0.000529,28.38236,0.02,-0.02,11.652,-0.023,0.023,9.66,1,1,0,0,CONFIRMED
,,-2.05,2.34,26.2,-23.0,,0.000163,-0.000164,4.26,47.8,0.76,805.825,14.5983,0.000657,-0.000657,17.788652,0.08,-0.08,14.939,-0.033,0.033,12.762,0,1,0,1,CANDIDATE
1.003,4.32,-0.22303506,0.22303506,2.5,-2.5,5950.0,1.5e-05,-1.5e-05,1.0973325,12.3,1.1,264.78,11.7889,0.000253,-0.000253,4.159221,0.046,-0.046,11.936,-0.026,0.026,10.192,4,1,0,0,CONFIRMED
1.013,4.32,-0.05085208,0.05709707,0.64,-0.57,5784.0,0.0028,-0.0028,0.0811849,0.91,1.147,105.48,9.52137,0.000154,-0.000154,10.6413,0.005,-0.005,9.715,-0.027,0.027,8.145001,3,1,0,1,CONFIRMED
,,-0.52,0.6,6.7,-5.8,,0.00034,-0.00035,0.68,7.6,1.5,49.5536,15.4082,0.0005,-0.0005,4.27065,0.2,-0.2,17.0,-0.021,0.021,11.447,0,1,0,1,CANDIDATE
0.79,4.5,-0.01070568,0.01516638,0.17,-0.12,5152.0,0.00461,-0.00448,0.1552324,1.74,0.82,228.839,12.6201,0.000183,-0.000183,13.81513,0.137,-0.137,12.93,-0.021,0.021,10.683,1,1,0,1,CONFIRMED
0.916,4.538,-0.02319565,0.02497993,0.28,-0.26,5283.0,0.00603,-0.00665,0.2837006,3.18,0.839,202.585,12.0252,0.000364,-0.000364,41.96645,0.092,-0.092,12.246,-0.021,0.021,10.305,6,1,0,0,CONFIRMED
,,,,,,,,,,,,284.828,18.1899,0.001924,-0.001924,0.520451,0.046,-0.046,18.2343,,,15.598,0,1,0,1,FALSE POSITIVE
,,,,,,3714.0,,,0.1418503,1.59,0.5,150.277,14.6255,0.000602,-0.000602,0.4348359,0.126,-0.126,15.497,-0.025,0.025,11.395,0,1,0,0,CANDIDATE
,,-0.039,0.02,0.2,-0.44,,2.1e-05,-2.2e-05,1.083,12.14,2.489,715.205,12.3894,0.00019,-0.00019,2.167697,0.069,-0.069,12.612,-0.021,0.021,10.742,0,1,0,1,CANDIDATE
0.601,4.72,-0.0178428,0.01873495,0.21,-0.2,3896.0,0.0063,-0.0055,0.13560532,1.52,0.561,44.0727,11.4785,0.000959,-0.000959,44.5631,0.009,-0.009,12.168,-0.023,0.023,8.561,3,1,0,0,CONFIRMED
0.708,,-0.2497997,0.41038522,4.6,-2.8,4570.0,0.00022,-0.00022,0.62449925,7.0,0.681,61.8736,10.7217,0.000692,-0.000692,7.7485,0.023,-0.023,11.454,-0.023,0.023,8.401,2,1,0,1,CONFIRMED
,,,,,,5000.0,0.00085,-0.00155,,,5.54598,3649.9,15.5167,0.000669,-0.000669,6.6223,0.195,-0.195,15.724,-0.024,0.024,12.662,0,1,0,1,CANDIDATE
1.077,1.773,-4.07351937,5.10590584,57.232,-45.66,4491.0,0.000875,-0.000806,17.57742343,197.025,22.415,283.43,17.1995,0.003739,-0.003739,21.98131,,,,,,,0,1,0,1,CANDIDATE
0.843,4.48518,,,,,5051.83,,,,,0.86968,308.105,13.1461,0.000319,-0.000319,11.72,0.08,-0.08,13.246,-0.022,0.022,11.3,1,1,0,0,CONFIRMED
,,-0.01,0.01,0.1,-0.1,,0.000116,-0.000124,0.09,1.0,0.87,92.4615,9.99854,0.003787,-0.003787,1.489184,0.0487,-0.0487,10.0797,,,,0,1,0,1,CANDIDATE
,,,,,,4379.0,,,2.92622,32.8,0.68,423.406,13.7131,0.000183,-0.000183,23.277669,0.137,-0.137,14.307,-0.023,0.023,11.193,0,1,0,1,CANDIDATE
1.067878,4.43,-0.05854305,0.0869208,0.97429522,-0.65620908,5773.0,8e-06,-9e-06,0.96071162,10.76861656,1.040024,334.037,12.1818,0.000262,-0.000262,3.951626,0.092,-0.092,12.397,-0.023,0.023,10.764,1,1,0,0,CONFIRMED
,,,,,,4708.46,,,,,5.5996,933.196,12.8641,0.000322,-0.000322,8.02678456,0.126,-0.126,13.598,-0.023,0.023,9.794,0,1,0,0,FALSE POSITIVE
0.877,,-0.00981354,0.02141137,0.24,-0.11,5502.7,0.0025,-0.0012,0.16593809,1.86,0.83,243.935,12.0976,0.000305,-0.000305,15.8523,0.069,-0.069,12.365,-0.024,0.024,10.549,2,1,0,1,CONFIRMED
0.97,,-0.04995985,0.04995985,0.56,-0.56,5772.0,0.00947,-0.00947,0.23820145,2.67,0.96,738.553,13.0573,0.000345,-0.000345,28.67992,0.092,-0.092,13.453,-0.021,0.021,11.564,1,1,0,0,CONFIRMED
,,-0.04,0.04,0.5,-0.4,,2.1e-05,-2.3e-05,1.12,12.5,0.77,442.813,14.3938,0.000798,-0.000798,3.114878,0.206,-0.206,14.492,-0.027,0.027,12.391,1,1,0,0,CONFIRMED
,,,,,,4081.0,0.0013,-0.0012,,,0.456,228.069,14.0558,0.001043,-0.001043,10.228,0.195,-0.195,14.464,-0.024,0.024,11.303,0,1,0,0,CANDIDATE
1.2,4.13,-0.01695066,0.01695066,0.19,-0.19,6172.0,0.000609,-0.000591,0.46391293,5.2,1.57,518.625,12.0398,0.000196,-0.000196,10.136448,0.057,-0.057,12.216,-0.028,0.028,10.869,1,1,0,0,CONFIRMED
,,,,,,4710.0,0.0018,-0.0026,,,0.62,145.701,12.6373,0.000252,-0.000252,16.0382,0.069,-0.069,12.883,-0.021,0.021,10.302,3,1,0,0,CONFIRMED
0.77,4.5498,,,,,4779.0,,,,,0.771581,403.513,14.3358,0.000396,-0.000396,10.35848367,0.32,-0.32,14.801,-0.03,0.03,12.245,2,1,0,0,CONFIRMED
0.91,4.42,-0.00446071,0.00981356,0.11,-0.05,5496.0,1.5e-05,-1.5e-05,0.16683051,1.87,0.995,244.59,11.9535,0.00022,-0.00022,0.571282,0.031,-0.031,12.101,-0.021,0.021,10.344,2,1,0,0,CONFIRMED
,,,,,,4397.0,0.0012,-0.00086,,,0.64,220.327,13.891,0.000258,-0.000258,11.37698,0.092,-0.092,14.222,-0.02,0.02,11.22,0,1,0,0,CANDIDATE
0.73,4.64,-0.01248996,0.01248996,0.14,-0.14,4648.0,0.000306,-0.000291,0.24801499,2.78,0.68,107.518,11.9053,0.000403,-0.000403,7.374694,0.114,-0.114,12.358,-0.019,0.019,9.625,2,1,0,0,CONFIRMED
,,-0.039,0.017,0.19,-0.44,,0.0015,-0.0015,0.194,2.17,1.469,160.125,9.51275,0.000244,-0.000244,13.773,0.004,-0.004,9.608,-0.023,0.023,8.412,1,1,0,0,CONFIRMED
,,-0.05,0.022,0.25,-0.56,,0.00024,-0.00024,0.34,3.8,1.195,300.655,12.0375,0.000226,-0.000226,9.7706,0.043,-0.043,12.208,-0.021,0.021,10.436,0,1,0,1,CANDIDATE
,4.438,-0.01957169,0.01957169,0.21937872,-0.21937872,4973.0,1.69392e-06,-1.69392e-06,1.0805629,12.11200864,0.74956,442.813,14.3938,0.000798,-0.000798,3.114893076,0.206,-0.206,14.492,-0.027,0.027,12.391,1,1,0,0,CONFIRMED
1.005,4.452,-0.018,0.018,0.201762,-0.201762,5654.0,1.7e-05,-2e-05,1.095,12.273855,0.987,347.917,12.4814,0.000166,-0.000166,6.5693,0.092,-0.092,12.727,-0.021,0.021,10.995,1,1,0,0,CONFIRMED
1.081,,-0.021,0.021,0.23538859,-0.23538859,,2.3e-06,-2.3e-06,1.187,13.30506009,1.181,453.099,12.6278,0.00039,-0.00039,4.5334775,0.092,-0.092,12.821,-0.021,0.021,11.187,1,1,0,1,CONFIRMED
1.023,4.586,-0.05201187,0.0572755,0.642,-0.583,5258.0,0.000112,-0.000112,0.79552283,8.917,0.856,593.449,14.5151,0.000334,-0.000334,8.952623,0.172,-0.172,14.66,-0.024,0.024,12.618,0,1,0,1,CANDIDATE
,,-0.021,0.009,0.1,-0.24,,0.00015,-0.00015,0.104,1.17,0.567,219.562,13.3201,0.000324,-0.000324,3.29163,0.114,-0.114,13.733,-0.019,0.019,11.122,0,1,0,1,CANDIDATE
1.4,4.17,-0.02051923,0.02051923,0.23,-0.23,6747.0,0.000701,-0.000859,0.26585779,2.98,1.61,786.439,13.2538,0.000328,-0.000328,3.334966,0.092,-0.092,13.446,-0.026,0.026,11.701,1,1,0,1,CONFIRMED
1.01,4.18,-0.00624499,0.00981356,0.11,-0.07,5853.0,0.00045,-0.00045,0.35596457,3.99,1.247,256.011,11.8031,0.000328,-0.000328,10.99497,0.034,-0.034,12.152,-0.018,0.018,9.907,1,1,0,0,CONFIRMED
0.447745,4.78052,,,,,3385.0,,,,,0.451115,179.563,15.9352,0.001387,-0.001387,0.56802,0.2,-0.2,17.18,-0.021,0.021,12.226,0,1,0,1,FALSE POSITIVE
,,,,,,4684.0,,,0.22035864,2.47,0.72,138.018,12.1478,0.000254,-0.000254,12.207632,0.057,-0.057,12.634,-0.021,0.021,9.664,1,1,0,0,CONFIRMED
,,-0.04,0.06,0.7,-0.5,,0.000316,-0.000304,0.38,4.3,1.17,718.648,13.8165,0.000183,-0.000183,5.235714,0.137,-0.137,14.117,-0.027,0.027,12.295,0,1,0,0,CANDIDATE
0.99,4.41736,,,,,5603.82,,,,,1.019,591.035,13.6858,0.00025,-0.00025,3.38199819,0.16,-0.16,13.802,-0.021,0.021,12.141,0,1,0,0,CANDIDATE
