st_mass,st_logg,pl_radjerr2,pl_radjerr1,pl_radeerr1,pl_radeerr2,st_teff,pl_orbpererr1,pl_orbpererr2,pl_radj,pl_rade,st_rad,sy_dist,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_orbper,sy_vmagerr1,sy_vmagerr2,sy_vmag,sy_kmagerr2,sy_kmagerr1,sy_kmag,sy_pnum,sy_snum,pl_controv_flag,default_flag,disposition
,4.46,-0.58,1.09,12.24932771,-6.46775904,5759.0,1e-06,-1e-06,1.32,14.79153996,0.990035,400.006,12.5721,0.000231,-0.000231,0.328152,0.08,-0.08,12.896,-0.026,0.026,11.053,0,1,0,0,CANDIDATE
0.89,4.4862,,,,,5231.0,,,,,0.89254,249.645,12.4528,0.000306,-0.000306,6.77093147,0.16,-0.16,12.689,-0.024,0.024,10.704,1,3,0,0,CONFIRMED
0.88,4.2635,,,,,5188.24,,,,,1.14689,509.353,13.5264,0.000169,-0.000169,5.173531,0.126,-0.126,13.806,-0.02,0.02,11.526,0,1,0,1,FALSE POSITIVE
,,,,,,5692.43,,,,,1.04527,198.032,11.5746,0.000347,-0.000347,15.97700259,0.034,-0.034,11.343,-0.017,0.017,9.734,0,1,0,1,CANDIDATE
1.18,4.25,,,,,6025.0,7.7e-06,-7.7e-06,,,1.38,181.69,10.0512,0.000372,-0.000372,19.4921498,0.008,-0.008,10.154,-0.02,0.02,8.837,1,1,0,0,CONFIRMED
0.79,4.61,-0.01070568,0.01070568,0.12,-0.12,4812.0,0.000112,-0.000107,0.19983941,2.24,0.73,123.438,11.8139,0.000886,-0.000886,3.280961,0.069,-0.069,11.974,-0.024,0.024,9.749,2,1,0,0,CONFIRMED
,,,,,,3927.0,,,0.21411366,2.4,0.58,44.0727,11.4785,0.000959,-0.000959,10.054374,0.009,-0.009,12.168,-0.023,0.023,8.561,3,1,0,0,CONFIRMED
1.0,4.52269,,,,,5633.43,,,,,0.907171,712.719,14.3504,0.00122,-0.00122,1.204338,0.137,-0.137,14.629,-0.021,0.021,12.446,0,1,0,1,FALSE POSITIVE
0.774,4.592,-0.02765635,0.02765635,0.31,-0.31,5055.0,0.0033,-0.0033,0.2150058,2.41,0.731,311.313,13.9395,0.00033,-0.00033,20.6921,0.114,-0.114,14.266,-0.023,0.023,11.838,2,1,0,1,CONFIRMED
0.598864,,-0.02944063,0.03033277,0.34,-0.33,3889.72,0.000163,-0.000161,0.42376662,4.75,0.587449,182.536,14.8215,0.000914,-0.000914,3.471341,1.133,-1.133,15.748,-0.024,0.024,11.577,2,1,0,0,CONFIRMED
,,-0.022,0.012,0.13,-0.25,,0.00084,-0.00081,0.167,1.87,0.731,185.947,12.1351,0.00036,-0.00036,15.93709,0.069,-0.069,12.636,-0.023,0.023,9.875,1,1,0,0,CONFIRMED
,,-0.034,0.037,0.41,-0.38,,0.0015,-0.0016,0.258,2.89,0.875,212.292,11.7105,0.000506,-0.000506,33.5116,0.051,-0.051,11.68,-0.028,0.028,9.933,0,1,0,1,CANDIDATE
,,-0.021,0.013,0.15,-0.24,,0.00082,-0.0008,0.199,2.23,1.062,291.339,12.444,0.00024,-0.00024,12.19649,0.069,-0.069,12.691,-0.019,0.019,10.699,0,1,0,1,CANDIDATE
0.839,4.60153,,,,,5038.0,,,,,0.758844,243.756,12.9477,0.000472,-0.000472,12.25823207,0.126,-0.126,13.121,-0.024,0.024,11.011,0,1,0,0,CANDIDATE
0.743,4.719,-0.01498798,0.01739676,0.195,-0.168,4270.0,0.001569,-0.001715,0.18092635,2.028,0.625,197.438,13.7783,0.000292,-0.000292,15.695142,0.08,-0.08,14.263,-0.025,0.025,11.226,0,1,0,1,CANDIDATE
